,level_0,question,RAGAS_context,ground_truth,RAGAS_source,evolution_type,index
0,0,What are some key points or best practices typically covered in secure coding guidelines for software development?,"["" these jobs. To do that, just run the pipeline in your GitLab Project > CI/CD > Pipeline > Run Pipeline > Select develop branch. And fill out the Variables: - AUTOM_NAME must be the identical to the value of the autom_name key of the dictionary you need to validate. - VALIDATE_DICTIONARY should be set to TRUE. :::\n\nPipeline\n\nNinGines Core\n\nAutomation projects are loaded with .gitlab-ci.yml, which includes NinGines core functionalities. A stage test or/and quality can be used with your own jobs in this CI to test your code (lint & quality check).\n\n:::caution You cannot define your own variables into this CI (variables: section) as it is already defined by the core. :::\n\nAutomation\n\nEach automation consists of a folder with a gitlab-ci file named automation.yml.\n\nThe automation folder name should be identical to the autom_name in the dictionary.\n\nAutomation description\n\n:::caution Shared runners must stay enabled in project settings to keep core NinGines jobs running. :::\n\nvariables: Load MMS variables in your automation.\n\njob:\n\nAUTOMATION_RESULT: Predefined and mandatory variable, set the value from 0 to 5 (see table below). Any other status must return a value of 1 as a failed result.\n\nAUTOMATION_RESULT NinGines status Cattask status 0 success Closed Complete 1 failed Open 2 cancelled Cancelled 3 Reserved for future use N/A 4 Reserved for future use N/A 5 Reserved for future use N/A\n\nAUTOMATION_WORKNOTE: Optional variable; to add a work note in the MMS Item when the request has failed\n\nAUTOMATION_COMMENT: Optional variable; to write a message (in the customer visible field)\n\nNinGines notify reference: Send automation result to MMS\n\nartifacts:\n\nIf you are not familiar with artifacts, please read the following documentation artifacts and needs\n\nAutomation customization\n\nUpdate the pipeline to fit your needs. You can use multiple stages, jobs, child pipeline and any feature supported by GitLab CI.\n\n:::tip NinGines always requires: - ningines-public included in the .gitlab-ci.yml file - extends: .ng:variables in variables section - One AUTOMATION_RESULT variable defined - One notify call only. :::\n\nAutomation examples\n\nTo interact with NinGines automation.yml requires some code base. Your automation project ship with two examples to quickly start playing with your automation pipeline:\n\nExample Description Basic The minimum code to get any automation working Callback Non linear execution with separate jobs\n\nDevelop your automation\n\nPrerequisites\n\nTo align with NinGines' policies, the following prerequisites must be met:\n\n:::info - Find and replace the request id in your dictionary. - If you are working on develop branch, the dictionary key mms_develop need to be less than 15 days away. - The Short Description of the MMS Cattask must match the cattask_short_description key in the dictionary. - The autom_name key of the dictionary must match the name of the automation folder in your repository. - NinGines will fetch Cattask item with the key enabled at true in the dictionary. - NinGines will fetch Cattask item only if it is not assigned to anyone. :::\n\nMMS variables\n\nIn the job autom:generate-config variables are passed from MMS with the following artifacts: - autom.gitlab-ci.yml: your file automation.yml update and rename by NinGines Core. - autom.variables: MMS variables in bash format. - autom.variables.json: MMS variables in JSON format. - dev_variables: MMS variables in bash format for dev purpose.\n\nHere an example of the variables file:\n\n:::note In addition of native variables for Cattask, you'll find the variable corresponding to your MMS form design. :::\n\nBranch strategy\n\nThe main branch always runs automation on the MMS PROD environment. Use the develop branch to test NinGines automation in MMS DEV and MMS TEST environments. Use any `` branch to test NinGines automation without MMS.\n\nOffline automation development\n\nRather than submit an MMS item to test automation, you can directly trigger your automation pipeline. 1. You have 2 options: - Raise your MMS item in MMS DEV and download the dev_variables file from any autom:generate-config job and upload it to your automation folder (must be the identical to the autom_name""]","Some key points and best practices typically covered in secure coding guidelines for software development include input validation, output encoding, authentication and access control, cryptography, error handling, data protection, secure communications, and keeping software up-to-date with the latest security patches and updates.","[{'source': 'cloud-services\\docs\\ningines\\03-interface\\01-request-1-7.md', 'filename': 'cloud-services\\docs\\ningines\\03-interface\\01-request-1-7.md'}]",simple,
1,1,What is the role and responsibility of the Technical Account Manager (TAM) in the AWS support team for Air Liquide?,"[""## ## ## ## ## ## ## ## ## ## ## ## ## ## ## ## ## ## ## ## ## ## ## AWS Team\n\nAWS Account Team\n\nAir Liquide is subscribed to the AWS Enterprise Support. It provides 24x7 technical support from high-quality engineers, tools and technology to automatically manage our environments, consultative architectural guidance delivered in the context of your applications and use-cases, and a designated Technical Account Manager (TAM) to coordinate access to proactive / preventative programs and AWS subject matter experts.\n\nAWS Role Name Contact email Contact Tel Scope Account Manager (AM) Edouard NOMME nomme@amazon.com +33 6 28 54 67 11 EMEA Technical Account Manager (TAM) Rémi DURANCET dduranc@amazon.fr +33 (0) 7 71 44 41 06 EMEA Solutions Architect (SA) Olivier ROSSANT orossant@amazon.fr +33 (0) 6 88 13 51 13 EMEA Customer Solutions Manager (CSM) Omar ZRAIBI omarzr@amazon.fr +33 (0) 6 59 63 09 81 EMEA Conciergerie Ann HESTERMANN maryjeah@amazon.com - EMEA Central Sales Representative (CSR) Alexandre RUSCART ruscarta@amazon.com - EMEA Account Manager (AM) Donielle NYLAND ndoniell@amazon.com - AMER Solutions Architect Ewanlen ATIVIE mativie@amazon.com - AMER Customer Solutions Manager (CSM) Danilo LIBERZTO danliber@amazon.fr - AMER Account Manager Vimalraj SELVARAJ msvimalr@amazon.com - APAC Solutions Architect (SA) Keith ROZARIO krozario@amazon.com - APAC Business Developer (BD) Jingxian SUN suhingxi@amazon.com - China Solutions Architect (SA) Phil ZHAO hongz@amazon.com +86-137-6461-6419 China\n\nThe AWS account team can be reached via the following distribution lists: * AWS TAM (Global): aws-airliquide-tams@amazon.com * AWS team (EMEA): aws-airliquide-emea@amazon.com * AWS team (Global): aws-airliquide-emea@amazon.com\n\nAll AWS member have -sc@airliquide.com accounts and can be reached via Google Chat.\n\nHow to contact the team\n\nYou need support for general questions about services and architecture topics: open a case to the support and/or directly contact your region's SA and TAM\n\nYou have a question about the AWS Roadmap or want to submit a PFR: contact the TAM\n\nYou want more details about incentives, migration programs: contact your region's Account Manager\n\nYou have a question or issue about billing topics: contact the AWS Concierge\n\nYou need a follow up on operational and billing topics: contact teh Customer Solutions Manager\n\nYou have a P1 incident and need urgent support from AWS: open a ticket to the AWS support with the appropriate severity level. The TAM* will be paged and will onboard timely to coordinate the AWS people to work towards the resolution\n\nThe AWS Team has a Google Chat account and can be reached via this channel if necessary.""]",The Technical Account Manager (TAM) for Air Liquide's AWS account has the following role and responsibilities: - Coordinate access to proactive/preventative programs and AWS subject matter experts - Provide consultative architectural guidance in the context of Air Liquide's applications and use-cases - Act as the primary point of contact for questions about the AWS Roadmap or submitting Product Feature Requests (PFRs) - Get involved and coordinate AWS resources in case of P1 (critical) incidents to work towards resolution,"[{'source': 'cloud-services\\docs\\aws-lab-essential\\01-intro\\04-aws-team.md', 'filename': 'cloud-services\\docs\\aws-lab-essential\\01-intro\\04-aws-team.md'}]",simple,
2,2,What are the key steps involved in setting up TLS in AWS ACM (AWS Certificate Manager)?,"["" one domain you don't need to provide an attachment.\n\nRequest an internal certificate\n\n:::info\n\nSee the detailed tutorial on this topic\n\n:::\n\nSet up TLS in AWS ACM\n\nUpload your certificate to AWS\n\nTo upload your certificate to AWS ACM either via the Console or the AWS CLI, please follow the official AWS ACM User Guide\n\n:::caution\n\nNote the ARN of your certificate. It will be used as a reference in the next step.\n\n:::\n\nAdd your certificate to your Load Balancer\n\nTest\n\nOnce all steps are complete:\n\nfrom the Windows CMD or Linux shell, use nslookup myapp.apps.airliquide.com. It should return the record set myapp.123456789012.eu.aws.airliquide.com and the IPs of the ALB starting with 10.151.x.y\n\nopen Chrome and browse to your application https://domain. If your web server is up and running, you should see your application.\n\nExpose your web application on the internet\n\nIf you have followed the steps above, your application is now available from the Air Liquide Network. Now, you may need to expose your web application on the internet. In addition to the steps described below, you will need to request the implementation of the Web Application Firewall (WAF) and make your DNS publicly available.\n\n:::info\n\nSubmit an Open Demand in ManageMyService\n\n:::\n\nThe implementation of the WAF will be delivered by GIO/PSS team who will get in touch with you:\n\nExposition of the application on the public internet via the WAF (the public IP of the application is set on the WAF)\n\nMaking your DNS publicly accessible\n\nCreation and implementation of the public certificate for your domain(s)\n\nSetup of the network connection between the WAF and your VPC(s)\n\nSupport during the learning phase, where you will work with PSS to configure the rules on the WAF""]","The key steps involved in setting up TLS in AWS ACM (AWS Certificate Manager) based on the given context are:

1. Request an internal certificate
2. Set up TLS in AWS ACM
3. Upload your certificate to AWS ACM either via the Console or the AWS CLI
4. Add your certificate to your Load Balancer
5. Test the setup by using nslookup and browsing to the application URL","[{'source': 'cloud-services\\docs\\aws-lab-essential\\08-tutorials\\05-application-deployment\\01-tuto-app.md', 'filename': 'cloud-services\\docs\\aws-lab-essential\\08-tutorials\\05-application-deployment\\01-tuto-app.md'}]",simple,
3,3,What is the significance of the 'Operations' email address in the 'Alternate Contacts' section of an AWS account?,['\n\nI own the AWS account on which the IAM User is. Why am I not receiving any mail? It means that the “Operations” email address into “Alternate Contacts” of your AWS account is not properly configured.\n\nCan I have more information about IAM User usage/process? Visit this section of this documentation.'],"The 'Operations' email address in the 'Alternate Contacts' section of an AWS account is important for receiving notifications and alerts related to the account. If this email address is not properly configured, the user may not receive important communications from AWS, such as billing alerts or service updates.","[{'source': 'cloud-services\\docs\\aws-lab-essential\\04-landing-zone-references\\07-autom-ref\\01-iam-user-key.md', 'filename': 'cloud-services\\docs\\aws-lab-essential\\04-landing-zone-references\\07-autom-ref\\01-iam-user-key.md'}]",simple,
4,4,What is the purpose of the Virtual Private Server offer?,"[""## ## ## ## ## ## ## ## ## ## ## ## ## ## ## ## ## ## ## ## ## ## ## Virtual Private Server\n\nPurpose of this offer\n\nThis offer exists to deploy simple applications on Virtual Machines (VM) (EC2) at AWS which requires only some VMs (EC2) with storage and when a dedicated AWS account is not needed.\n\nIf you need an architecture more than simple(s) VM/ EC2 for your application, you need to request a dedicated AWS account (Managed or Essential) and deploy the needed infrastructure in it.\n\nThis offer can be used to deploy some VMs (EC2) at AWS in an GIO's owned and managed account for IT or for OT (OT only for the BIS concerned): the deployment is done in a different account for IT and OT.\n\nPricing\n\nYou pay your consumption of EC2 instance, no fix cost.""]","The purpose of the Virtual Private Server offer is to deploy simple applications on Virtual Machines (VMs) or EC2 instances at AWS, which requires only some VMs with storage and when a dedicated AWS account is not needed.","[{'source': 'cloud-services\\docs\\virtual-private-server\\02-purpose\\index.md', 'filename': 'cloud-services\\docs\\virtual-private-server\\02-purpose\\index.md'}]",simple,
5,5,What is the purpose of running the pipeline and providing the automation folder name as an input variable in the CI/CD process?,"[':\n\nManually run the pipeline in your GitLab Project > CI/CD > Pipeline > Run Pipeline > Select develop or ` branch, then fill out theInput Variable valuematching with your automation folder name for the variableAUTOM_NAME`.\n\nDevelopment rules and standards\n\nAll your development - no matter the hosting platform and whatever language you use - need to use secure protocols and respect software development best practices. You can rely on the relevant documentation & guidelines within the Air Liquide Digital Security framework:\n\nSecure Coding guidelines\n\nShift Left and DevSecOps principles\n\nIf you have any question or doubt regarding the software development in Air Liquide, please get in touch why the CoP Software Engineering:\n\nCurrents\n\nww-cop-software-engineering-core-team@airliquide.com\n\nSecurity recommendations\n\nDo not :x::\n\nStore in your code any sensitive data (token, key, password).\n\nUse a runner calling a service/generic account with too many rights.\n\nDo :heavy_check_mark::\n\nRotate SSH keys and Personal Access Tokens.\n\nRestrict the access and rights of the service/generic account called by the runner.\n\nRely on AWS Secrets Manager or CyberArk (GIO/ADAS team) to store any credentials.\n\nReview your runner permissions.\n\nUsers rights management\n\nPlease refer to the paragraph Users rights management in the documentation Quick Start for NinGines.\n\nFAQ\n\nQ: Is it possible to get and use MMS Item attached files in my automation?\n\nNo. MMS User is not able to get the file attached in MMS items. Nevertheless, if you need to manage files in your automation, you can ask in the request to drop the file on cloud storage (Google Drive, AWS S3, Azure Storage).\n\nQ: Does my automation interact with servers hosted in the European Data Centers through SSH or WinRM?\n\nYes. Please read this documentation.\n\nTroubleshooting guide\n\nNinGines do not fetch my automation in MMS DEV or MMS TEST environment\n\nCheck your GitLab pipeline, you should have error or warning messages thanks to validate dictionary jobs.\n\nNinGines do not fetch my automation in any MMS environment\n\nCheck that the dictionary assignment group matches the MMS assignment group.']","The purpose of running the pipeline in the GitLab Project's CI/CD and providing the automation folder name as an input variable (AUTOM_NAME) is to trigger the execution of the automation code or scripts stored in the specified folder. This allows the automation to be run as part of the Continuous Integration and Continuous Deployment (CI/CD) process, enabling automated testing, building, and deployment of the automation code.","[{'source': 'cloud-services\\docs\\ningines\\03-interface\\request-1-6.md', 'filename': 'cloud-services\\docs\\ningines\\03-interface\\request-1-6.md'}]",simple,
6,6,What resources need to be manually cleaned up after terminating the Service Catalog product for EBS volume encryption?,"["" NORMAL All non-encrypted EBS volumes attached to the instances can be encrypted The encryption operations will be done on all EBS volumes EXCLUDE All EBS volumes attached to the instance are already encrypted. No operation needed. WARNING PARTIAL SOME EBS volumes attached to the instance cannot be encrypted. Check the EBS volumes details in the logs for more explanations. The encryption operations will be done on EBS volume which can be encrypted WARNING EXCLUDE ALL EBS volumes attached to the instance cannot be encrypted. Check the EBS volumes details in the logs for more explanations. The EBS encryption operations can't be executed\n\nCleaning\n\nWhen you don't need anymore to execute the encrypt operation, just Terminate the product from Provisioned products list, into Service Catalog console.\n\nWhen you terminate the product, the following resources are deleted:\n\nAll resources created by the product (Lambda functions, Step Functions, IAM Roles, ...)\n\nLambda functions log stream.\n\nFor the other resources, the cleaning will be done automatically after a retention period or in some cases, you need to do cleaning by your own:\n\nLog streams into operation log group are not deleted. They will be automatically cleaned up at the end of the specified retention period (default = 30 days).\n\nAMI (and so snapshots) used as backup during the operation. To automatically clean it, the DeleteOn tag is setup on AMIs. By default, an AMI is deleted after 30 days.\n\n:::caution\n\nAs the automated AMI clean up is not deployed by default in Lab accounts, no cleaning will be done.\n\n:::\n\nOld non-encrypted EBS Volumes. If, into the product's parameters, you decided to not delete them, those volumes will remain and will never be automatically deleted. You will have to delete them manually yourself. To help you to spot them, the following tags can be looked up in the EBS console, via CLI or API:\n\nTag Value EBSEncryption/status done EBSEncryption/newVolume id of newly created volume""]","The resources that need to be manually cleaned up after terminating the Service Catalog product for EBS volume encryption are the old non-encrypted EBS volumes, if the option to not delete them was chosen in the product's parameters. These volumes will remain and will never be automatically deleted, so they need to be deleted manually by looking up the tags 'EBSEncryption/status' with value 'done' and 'EBSEncryption/newVolume' with the ID of the newly created volume. AMI (and so snapshots) used in backup are not deleted by default in Lab accounts as the automated AMI clean up is not deployed. Moreover, log streams into operation log group are not deleted but will be automatically cleaned up at the end of the specified retention period (default = 30 days).","[{'source': 'cloud-services\\docs\\aws-lab-essential\\07-service-catalog\\03-ebs_encryption.md', 'filename': 'cloud-services\\docs\\aws-lab-essential\\07-service-catalog\\03-ebs_encryption.md'}]",simple,
7,7,What AI-powered view flags accounts with cost anomalies for review?,"["" cost in. All. Set to current month only in the Summary and Cost Optimization views. Business Application Allows you to filter per application and application environment (requires that your application exists in MMS and is linked with its AWS accounts). All Client Filter the cost for one or more clients (i.e BIS, GSP) All AWS Account Select one ore more AWS Accounts to see the associated cost All AWS Service Select one ore more AWS service (i.e. EC2, RDS, LAMBDA...) to see the associated cost. Note that ES stands for Amazon ElasticSearch Service All GIO account offering Filter by GIO AWS account offering (ie: Lab, Essential, Managed) All Charge Type Select the type of charge you want to include in your chart (i.e. credits, refunds, taxes...). TAX is always unselected by default All Resource ID Filter per resource (i.e EC2, RDS instances...) identified as optimizable Cost Optimization only Trusted Advisor Check Name Filter per Trusted Advisor check Cost Optimization only GIO Billing period Select the GIO billing period. Note that MR for month N contains AWS billing data from month N-2 due to AWS updating billing data 15 days after month closure Monthly Report only GIO Service ID Filter by the service ID presented to you in GIO Monthly Reports Monthly Report only\n\nThe top-right HUB filter relates to GIO Hubs (Americas, Asia-Pacific and Europe + Middle-East Africa).\n\nGroup By and Aggregation slicers\n\nThe dashboard offers you Group By and Aggregate By slicers. You can combine them with other specific filtering options.\n\nSlicer Scope Available views Group By View the spend per the proposed categories (AWS account, AWS service, Hub...) Aggregate By Select the financial view you need (see details below this table)\n\nDetails for the Aggregate By:\n\nUnblended Cost: This is what AWS actually charges Air Liquide every month. It’s the default option for analyzing costs.\n\nTotal Billed GIO: This is what is charged to you by GIO via Monthly Reports. It includes all Savings Plan and Enterprise Support cost, that are not shown with Unblended Cost. Amounts are applicable for Hub EUR only.\n\nAmortized Cost: View the amortized costs - typically useful if you have paid upfront fees for reservations for example. With this view, the total upfront amount is spread across the amortization period\n\nSavings Plan cost: the share of GIO-managed Savings Plans (shared) that is charged back to you based on your Compute usage\n\nEnterprise Support cost: your share of the AWS Premium Support cost invoiced to Air Liquide by GIO (more details here)\n\nViews\n\nSummary\n\nIt shows a snapshot of your cost for the current month only. It allows to see quickly the Month-to-date (MTD) and Year-to-date (YTD) cost, as well as a forecasted value for the month-end (simple, linear projection). The forecasted value is not a commitment from GIO or AWS ; your actual bill may differ. The top-right chart shows you how much you would have paid if GIO hadn't managed cost optimizations globally.\n\nBill Explorer\n\nThe Bill Explorer view allows you to easily analyze your AWS bill using groupings. It shows the data for the current month. There is no 2-month offset like in the Monthly Report view.\n\n:::caution\n\nPower BI fails to display all the items in a bar chart when there are too many. Therefore, the views grouped by Account and Service won't show all items and the presented cost will reflect only the items that are showed on the chart. To have an accurate cost, please use the filters on the left to reduce the scope. (Blank) is displayed for AWS Accounts that are new and still in status transition in MMS at the time the report data is collected.\n\n:::\n\nVariance\n\nThe Variance view allows you to easily visualize which Service, Account, etc... contributes to the evolution (increase or decrease) of your AWS cost. The table allows you to access the detailed data for your selected scope and timeline.\n\nCost drifts\n\nThis view shows at a glance the cost anomalies at AWS account and service level detected by an AI model integrated by GIO. The detailed view can help you visualize your alerts per service, to understand the cost impact and investigate further if needed to stop the cost deviation.\n\nAn anomaly is defined as an abnormal cost trend at the AWS account level, that can be interpreted as either an Alert or a Warning.\n\nALERT: there is an anomaly that needs immediate attention\n\nWARNING: there was an anomaly but the cost trend went back to normal\n\nAccounts details\n\nThis view presents information""]","The 'Cost drifts' view shows cost anomalies at the AWS account and service level detected by an AI model, flagging accounts with abnormal cost trends as alerts or warnings for further investigation.","[{'source': 'cloud-services\\docs\\aws-lab-essential\\05-finops\\07-explore.md', 'filename': 'cloud-services\\docs\\aws-lab-essential\\05-finops\\07-explore.md'}]",reasoning,
8,8,Which LZI components face impact across regions during a Main HUB region outage?,"[""AWS Landing Zone Resilience consideration\n\nimport Badge from 'react-bootstrap/Badge';\n\nIn this section we explain, for each most important pieces of AWS Landing Zone, resilient regarding major issue like an AWS data center lost. What will continue to work, what will not?\n\n:::info\n\nNote we will use LZI word above to designate the AWS Landing Zone (i.e. Landing Zone Infrastructure)\n\n:::\n\nHow read the below tables: - Component = Which LZI component we are talking about - Function Run = It is the operational status of deployed LZI component, how it is usable regarding the potential issue we have. In other word, can my application continue to use this LZI component during the issue without any impact. - Function Deploy = It is the capability to build/deploy/update the LZI component during the issue. - AZ Trouble/Lost = AWS Availability Zone issue. In the worse case, it can be the loss of an entire AWS Data center. It is the main risk we have with a long term impact. In other word, it the risk we must absolutely cover. - Main HUB region Trouble/Lost = Troubles consideration related to the Main region use by the LZI. You can find list of Main LZI regions here. - Other region Trouble/Lost = Troubles consideration related to the other regions than Main region use by the LZI. - Services Used = Main services used for this component of LZI. Basically, resilience of the component is lower or equal to the worst services in the list.\n\nInfra as code\n\nOne of the first considerations that we should have is that LZI is globally written with Infra As Code and therefore depends on the resilience of the software factory such as Gitlab. In other words, LZI code and pipelines have the same level of resilience than Software factory, and in particular Gitlab application.\n\n\u200bComponent Function AZ Trouble/Lost Main HUB region Trouble/Lost Other region Trouble/Lost Services Used Comment LZI Code Run No Impact Trouble Impact into region Software Factory Run are note directly affected for issue related to code repository. However some regular schedule of CD pipeline can be affected, but there is no direct impact in this case on on going usage of LZI. \u200b Deploy No Impact (+ eu-west-1 region - Ireland)Impacted (- eu-west-1 region - Ireland)Impact into region Software Factory In case of eu-west-1 (Ireland) region troubles, build/deploy/update of the LZI can be compromised because it is the software factory region. For Main HUB region other than Ireland, software factory will work, but not the LZI Cockpit of corresponding HUB.Other deployment components are build on multiple AZ architecture, so without any impact in case of AZ trouble.\n\nIAM\n\nIn this section, we will consider all standard IAM components deployed by the LZI into all accounts.\n\n\u200bComponent Function AZ Trouble/Lost Main HUB region Trouble/Lost Other region Trouble/Lost Services Used Comment IAM Roles/Policies Run No Impact No Impact Impact into region IAM Use AWS IAM IAM services which is a global service resilient in case of region loss. \u200b Deploy No Impact Impacted No Impact CloudFormation Component deployed using cloudformation stackset from the Cockpit account. See Cockpit section for more information. IAM Automation (Boundaries,...) Run No Impact (+ us-east-1 region - N. Virginia)Trouble No Impact IAM Lambda SSM EventBridge IAM Automation use the us-east-1 region. So those automation are impacted in case of us-east-1 region issue. But this component is not critical for application. For example, assign boundary policy failure, will not block usage of an IAM roles for this application, and after issue, automatically, IAM Automation will retry the backlog. \u200b Deploy No Impact (+ us-east-1 region - N. Virginia)Impacted No Impact CloudFormation Component deployed using cloudformation stackset from the Cockpit account. See Cockpit section for more information.\n\nCockpit\n\nCockpit is a special AWS account from which LZI is managed and deployed.\n\n\u200bComponent Function AZ Trouble/Lost Main HUB region Trouble/Lost Other region Trouble/Lost Services Used Comment CloudFormation StackSet Run No Impact No Impact No Impact N/A The CloudFormation stackset is used for the LZI into the Cockpit only for deployment not for run. So no impact on run. \u200b Deploy No Impact Impacted Impact into region CloudFormation CloudFormation stackset is one of the main component used to deploy the LZI. It is a regional service, so it is impacted during a regional issue on main LZI region. Furthermore this service is not impacted by an AZ issue. LZI CLI Server Run No""]","The following LZI components face impact across regions during a Main HUB region outage: CloudFormation StackSet (Deploy), LZI CLI Server (Run and Deploy), and IAM Automation (Deploy).","[{'source': 'cloud-services\\docs\\aws-lab-essential\\03-architecture-and-concepts\\11-lzi-res.md', 'filename': 'cloud-services\\docs\\aws-lab-essential\\03-architecture-and-concepts\\11-lzi-res.md'}]",reasoning,
9,9,Which initiative propagates policies to the mgmt. group with allowed locations NE & USE2?,"["" Location\n\nAllowed locations : North Europe, US East 2, Southeast Asia, Australia East\n\nCategory: Storage\n\nAudit Prod Storage Account Sku\n\nAudit Non-Prod Storage Account Sku\n\nAzure DYN Initiative\n\nCategory: Tags\n\nInherit ProjectName tag from the subscription\n\nInherit ProjectShort tag from the subscription\n\nInherit CustomerName tag from the subscription\n\nInherit EnvironmentName tag from the subscription\n\nInherit CostCenter tag from the subscription\n\nCategory: Location\n\nAllowed locations : Canada Central, France Central, North Europe\n\nCategory: Virtual Machine\n\nMicrosoft IaaSAntimalware extension should be deployed on all servers\n\nCategory: Virtual Network\n\nInternet-facing virtual machines should be protected with network security groups\n\nNon-internet-facing virtual machines should be protected with network security groups\n\nInitiatives and Managements groups\n\nAzure Core Initiative is propagated in Azure CORE Management Group\n\nAzure BIG Initiative is propagated in Azure BIG Management Group\n\nAzure DYN Initiative is propagated in Azure DYN Management Group\n\nAzure Core Reporting\n\nReporting data from Azure platform helps us to monitor infrastructure state. Configuration compliance could be checked using operational data.\n\nExpressRoute\n\nEurope\n\nExpressRoute lets Air Liquide extend its on-premises networks into the Microsoft cloud over a private connection with dedicated bandwidth from a connectivity provider. In the Air liquide context, ExpressRoute is mostly used to reach Microsoft public services such as Azure AD, Azure SQL Database, Azure Storage, etc. Nevertheless, an Azure Private peering is available to establish a connection with private networks on Azure if it is necessary in future scenarios. A virtual cross-connection through a connectivity provider at a co-location facility offers more reliability, faster speeds, consistent latencies, and higher security than typical connections over the Internet to Air Liquide.\n\nThe European Expressroute circuit is hosted on the subscription GIO-CORE_SERVICES.\n\nAll the resources related to the European ExpressRoute circuit are deployed in the North Europe region:\n\nResource group: al-neu-core-prod-rgp-expressroute\n\nExpressRoute circuit: al-neu-core-prod-ercircuit-london\n\nProvider: Level 3 Communications - Exchange\n\nPeering Location: London\n\nBandwidth: 200 Mbps\n\nSKU: Standard\n\nBilling model: Metered\n\nTwo peerings are active on this ExpressRoute circuit:\n\nAzure Private:\n\nPrimary subnet: 169.254.254.180/30\n\nSecondary subnet: 169.254.254.176/30\n\nVLAN ID: 176\n\nConnection: al-neu-core-prod-cn-alnetwork-to-vnet-hub-vngtw-01\n\nVirtual Network: al-neu-core-prod-vnet-hub\n\nVirtual Network Gateway: al-neu-core-prod-vnet-hub-vngtw-01\n\nSKU: Standard\n\nGateway type: ExpressRoute\n\nPublic IP: 40.69.26.54\n\nMicrosoft:\n\nPrimary subnet: 185.188.176.40/30\n\nSecondary subnet: 185.188.176.44/30\n\nIpv4 Advertised public prefixes: 185.188.176.0/22\n\nVLAN ID: 40\n\nRoute filters\n\nA route filter lets us identify services we want to consume through our ExpressRoute circuits' Microsoft peering. It is essentially a list of all allowed BGP community values. Once a route filter resource gets defined and attached to an ExpressRoute circuit, all prefixes that map to the BGP community values are advertised to Air Liquide's network.\n\nRoute filter name: al-neu-core-prod-ercircuit-london-rf\n\nRule name: al-neu-core-prod-ercircuit-london-rf-rule-01\n\nAllowed service communities:\n\nName Value Azure North Europe 12076:51003 Azure Global Services 12076:5050 Azure West Europe 12076:51002 Azure Active Directory 12076:5060\n\nAir Liquide Network Architecture\n\n:::info\n\nWaiting for documentation from Network Team\n\n:::\n\nContacts\n\nIf there is any issue with the European ExpressRoute configuration, besides the Azure Infra Team, it is possible to reach GIO Network Team, specifically Karim Rahmani(karim.rahmani-sc@airliquide.com).\n\nAsia\n\nThe Asian Expressroute circuit is hosted on the subscription""]",The 'Azure DYN Initiative' propagates policies to the management group with allowed locations North Europe and US East 2.,"[{'source': 'cloud-services\\docs\\azure\\01-core-platform.md', 'filename': 'cloud-services\\docs\\azure\\01-core-platform.md'}]",reasoning,
